@relation data/MEETING_features.arff
@attribute fromamy@initech-corp.com numeric
@attribute fromigor@initech-corp.com numeric
@attribute fromjohn@initech-corp.com numeric
@attribute frommary@initech-corp.com numeric
@attribute frommike@initech-corp.com numeric
@attribute meetingrequestssometimesincludefileattachments. numeric
@attribute meetingrequestsoftenmentiontheemailreceiverbyname. numeric
@attribute thewordschedulewilloftenappearinthebodyoftheemail. numeric
@attribute meetingrequestswilloftencomefrominitech-corp.comsenders. numeric
@attribute thewordmeetingwilloftenappearinthesubjectoftheemail. numeric
@attribute emailsmightbutusuallydonothaveattachments. numeric
@attribute emailsoftenaresenttosomeoneatthesamedomain. numeric
@attribute emailstendtonotbefromsomeoneatadifferentdomain. numeric
@attribute emailsusuallyareonlyafewsentenceslong. numeric
@attribute emailsusuallywillhavephrasessuchasmeetinginthesubject. numeric
@attribute messagecontainsmeeting numeric
@attribute messagebodycontainsmeet numeric
@attribute subjectcontainsmeet numeric
@attribute subjectcontainsmeeting numeric
@attribute messagesthathaveinthebodyoftextthevariousdaysoftheweek. numeric
@attribute referencesinmailcontainingcalendar numeric
@attribute mailstomeusuallycontainingdatesandtimes. numeric
@attribute mailfrominitech-corp.comusuallycontainingmeeting numeric
@attribute themailswilloftencontainreferencestoaproject numeric
@attribute label {POSITIVE,NEGATIVE}
@data
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NEGATIVE
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEGATIVE
